productId,productName,aisleId,departmentId
23,Organic Turkey Burgers,49,12
79,Wild Albacore Tuna No Salt Added,95,15
196,Soda,77,7
248,Dried Sweetened Cranberries,117,19
1005,China Green Tips Green Tea,94,7
1200,Vegetable Classics Vegetable Soup,69,15
1559,Cherry Pomegranate Greek Yogurt,120,16
1819,All Natural No Stir Creamy Almond Butter,88,13
2002,"The World's Best Veggie Burger""",42,1
2573,Garlic Pepper Ramen,66,6
2707,Complete™ ActionPacs™ Fresh Scent Dishwasher Detergent,74,17
3151,Super Tea Power Greens,94,7
3376,Organic Whole Kernel Sweet Corn No Salt Added,81,15
4071,Organic Lemongrass Ginger Ramen,66,6
4957,Total 2% Lowfat Greek Strained Yogurt With Blueberry,120,16
5212,Watermelon Chunks,123,4
5322,Gluten Free Dark Chocolate Chunk Chewy with a Crunch Granola Bars,3,19
5450,Small Hass Avocado,24,4
5869,Unsweetened Carob Chips,17,13
5907,Apple Cinnamon Fig Bar,48,14
5999,Semi-Soft Cheese Ripened,21,16
6808,Organic Spinach & Cheese Tortellini,12,9
7160,Clear Cups,111,17
7350,Natural Lime Flavor Sparkling Mineral Water,115,7
7503,Whole Almonds,117,19
7781,Organic Sticks Low Moisture Part Skim Mozzarella String Cheese,21,16
7963,Gluten Free Whole Grain Bread,58,1
8021,100% Recycled Paper Towels,54,17
8138,Traditional Hummus,67,20
8296,OG Sesame Tamari Rice Cake Organic Rice Cakes,78,19
8479,Original Black Box Tablewater Cracker,78,19
8518,Organic Red Onion,83,4
9124,Broccoli & Cheddar Bake Meal Bowl,38,1
9387,Granny Smith Apples,24,4
9681,Chicken Tikka Masala with Cumin Infused Basmati Rice Frozen Meal,38,1
10258,Pistachios,117,19
10305,Black Plum,24,4
10326,Organic Fuji Apples,24,4
11777,Red Raspberries,123,4
11865,Light & Lean Spaghetti Italiano with Meatless Meatballs,38,1
12000,Baked Organic Sea Salt Crunchy Pea Snack,72,13
12258,Organic White English Muffins,93,3
12427,Original Beef Jerky,23,19
12845,Chopped Walnuts,117,19
13032,Cinnamon Toast Crunch,121,14
13176,Bag of Organic Bananas,24,4
13351,Total 0% Peach Yogurt,120,16
13742,Organic Coconut Almond Peanut,3,19
13870,Lightly Salted Baked Snap Pea Crisps,107,19
13988,Snow Peas,83,4
14084,Organic Unsweetened Vanilla Almond Milk,91,16
14306,Organic Packham Or Anjou Pears,110,13
14553,Oats & Honey Granola,57,14
14992,Green Beans,83,4
15143,Blueberry Pint,24,4
15349,Organic Raw Agave Nectar,29,13
15841,Organic Dark Chocolate Almond & Sea Salt Trail Mix Bar,3,19
16168,Large Organic Omega3 Brown Eggs,86,16
16521,Walnut Halves & Pieces,117,19
16589,Plantain Chips,107,19
16797,Strawberries,24,4
16965,Chocolate Ice Cream,37,1
17122,Honeycrisp Apples,24,4
17224,Oats & Honey Gluten Free Granola,3,19
17668,Unsweetened Chocolate Almond Breeze Almond Milk,91,16
17758,Strawberry Rhubarb Yoghurt,120,16
17769,Diet Caffeine Free Naturally Flavored Lemon Lime Soda,77,7
17872,Total 2% Lowfat Plain Greek Yogurt,120,16
18370,Organic Shredded Mozzarella,21,16
18523,Total 2% All Natural Greek Strained Yogurt with Honey,120,16
18599,Garlic Couscous,4,9
18761,Balsamic Vinegar Of Modena,19,13
18961,Organic Dark Chocolate Pomegranate Trail Mix Bar,3,19
19051,"Pita Chips, Simply Naked, Party Size",107,19
19057,Organic Large Extra Fancy Fuji Apple,24,4
19156,Fat Free Blueberry Yogurt,120,16
19240,Organic Fuji Red Apple Chips,107,19
20084,Pineapple Apple Mint Organic Cold Pressed Juicd,31,7
20574,Roasted Turkey,96,20
20754,Mediterranean Mint Gelato,37,1
20785,Extra Sharp Aged Cheddar Cheese slices,21,16
21137,Organic Strawberries,24,4
21150,Fire Grilled Steak Bowl,38,1
21227,Smart Dogs Veggie Hot Dogs,14,20
21376,Pretzel Crisps Original Deli Style Pretzel Crackers,107,19
21413,Organic Soba,66,6
21573,Roasted Pine Nut Hummus,67,20
21616,Organic Baby Arugula,123,4
21709,Sparkling Lemon Water,115,7
21903,Organic Baby Spinach,123,4
22035,Organic Whole String Cheese,21,16
22124,Total 0% Raspberry Yogurt,120,16
22199,Extra-Dry Cava,134,5
22474,Cheddar Bunnies Snack Crackers,78,19
22475,Jicama,83,4
22559,Kitchen Cheese Enchilada,38,1
22825,Organic D'Anjou Pears,24,4
22829,Multigrain Flax Seeded Flatbread Crackers,78,19
22963,Organic Roasted Turkey Breast,96,20
23650,Electrolyte Water,115,7
24010,Wheat Gluten Free Waffles,52,1
24231,Tahitian Vanilla Bean Gelato,37,1
24535,Plain Whole Milk Yogurt,120,16
24768,All Natural Honey Almond Butter,88,13
24810,Organic Lightly Salted Brown Rice Cakes,78,19
24852,Banana,24,4
24954,Total 0% with Honey Nonfat Greek Strained Yogurt,120,16
24990,Go Mango! Organic Dried Chili Lime Mango,117,19
25133,Organic String Cheese,21,16
25146,Original Orange Juice,31,7
25623,Real Guacamole,67,20
26088,Aged White Cheddar Popcorn,23,19
26405,XL Pick-A-Size Paper Towel Rolls,54,17
26576,Yellow Corn Tortilla Chips,107,19
26604,Organic Blackberries,24,4
27344,Uncured Genoa Salami,96,20
27413,100% Mighty Mango Juice Smoothie,31,7
27737,Brown Rice Black-Eyed Peas and Veggies Bowl,38,1
27966,Organic Raspberries,123,4
28289,Organic Shredded Carrots,123,4
28373,Original Rotisserie Chicken,13,20
28874,Carrot Ginger Soup,1,20
28918,Marcona Almonds,117,19
30450,Creamy Almond Butter,88,13
30489,Original Hummus,67,20
30908,Teriyaki Turkey Jerky,23,19
31717,Organic Cilantro,16,4
32052,Organic Brown Rice Cake Salt-Free,78,19
32139,Hommus Classic Original,67,20
32402,"Crackers, Crispy, Cheddar",78,19
32792,Chipotle Beef & Pork Realstick,23,19
33276,Kalamata Olive Spread,67,20
33754,Total 2% with Strawberry Lowfat Greek Strained Yogurt,120,16
33957,Mexican Casserole Bowl,38,1
34688,Good Belly Probiotics Juice Drink Blueberry Acai Flavor,31,7
35469,Enchilada Black Bean Vegetable,38,1
35917,Organic Just Concord Grape Juice,98,7
35951,Organic Unsweetened Almond Milk,91,16
36287,Smooth Operator Natural Peanut Butter,88,13
36606,Sprouted Multi-Grain Bread,112,3
36735,Organic Roasted Sliced Chicken Breast,96,20
37646,Organic Gala Apples,24,4
38596,Part Skim Ricotta Cheese,108,16
38656,Gluten Free Peanut Butter Dark Chocolate Chewy With a Crunch Granola Bars,3,19
38928,0% Greek Strained Yogurt,120,16
39190,Vanilla Unsweetened Almond Milk,91,16
39657,Milk Chocolate Almonds,45,19
39877,Organic Granny Smith Apple,24,4
39922,Celery Sticks,123,4
39928,Organic Kiwi,24,4
40198,Blueberry Yoghurt,120,16
40571,Total 2% Greek Strained Yogurt with Cherry 5.3 oz,120,16
40604,Feta Cheese Crumbles,21,16
40706,Organic Grape Tomatoes,123,4
41787,Bartlett Pears,24,4
42265,Organic Baby Carrots,123,4
42329,Private Selection Pinot Noir,28,5
42342,Roasted Turkey Breast,96,20
42356,Strawberry Preserves,88,13
42557,Crunchy Almond Butter,88,13
43693,Whole Vitamin D Milk,84,16
43704,Low Carb Whole Wheat Tortillas,128,3
43961,Organic Peeled Whole Baby Carrots,123,4
44303,Organic Shredded Unsweetened Coconut,17,13
44683,Brussels Sprouts,83,4
45066,Honeycrisp Apple,24,4
45613,Pad Thai,38,1
45948,Gluten Free 7 Grain Bread,112,3
46149,Zero Calorie Cola,77,7
46676,Total 0% Nonfat Greek Yogurt,120,16
46886,Raspberry Yoghurt,120,16
47144,Unsweetened Original Almond Breeze Almond Milk,91,16
47209,Organic Hass Avocado,24,4
47526,Goat Cheese Log,21,16
47553,Sugarfree Peppermint Chewing Gum,20,11
47766,Organic Avocado,24,4
47792,Organic Beans & Rice Cheddar Cheese Burrito,38,1
48099,Truffle Parmesan Macaroni & Cheese Bowl,38,1
48110,Thin Stackers Brown Rice Lightly Salted,78,19
48210,Whole Wheat Blueberry Fig Bars,48,14
48523,Birthday Cake Light Ice Cream,37,1
48775,Organic Red Cabbage,83,4
49235,Organic Half & Half,53,16
49273,Light and Lean Quinoa Black Beans with Butternut Squash and Chard,38,1
49451,Artichoke Spinach Dip,67,20
49683,Cucumber Kirby,83,4
